               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066003,             0.02349,             0.03313,             0.66956,             0.68935,             0.68794,             0.30555,             0.04662,           0.0099371,            0.018437,            0.070046,           0.0033282,           0.0033282
                   1,            0.050249,            0.017046,            0.012705,               0.849,              0.8276,             0.86451,             0.38186,            0.042642,           0.0088814,           0.0061351,            0.039914,           0.0065296,           0.0065296
                   2,            0.046068,            0.016524,           0.0098706,              0.8424,              0.8375,             0.85816,             0.43138,            0.038797,           0.0089452,           0.0061095,           0.0096503,           0.0095991,           0.0095991
                   3,            0.043194,            0.016606,           0.0093553,             0.91866,             0.86381,             0.91359,              0.4853,            0.035985,           0.0087775,           0.0043664,            0.009406,            0.009406,            0.009406
                   4,            0.040684,            0.016174,           0.0082005,             0.92339,             0.88105,             0.92771,             0.49385,            0.035243,           0.0084462,           0.0033515,            0.009406,            0.009406,            0.009406
                   5,            0.038326,            0.015696,           0.0071806,             0.93441,             0.89538,             0.93816,             0.53638,            0.032641,           0.0082974,           0.0033019,            0.009208,            0.009208,            0.009208
                   6,            0.037026,            0.015449,           0.0065164,             0.94576,             0.91943,             0.95648,             0.56124,            0.031073,           0.0078802,           0.0026186,             0.00901,             0.00901,             0.00901
                   7,            0.035845,            0.014852,           0.0061817,             0.94818,             0.92869,             0.95905,             0.57046,            0.030547,           0.0077362,           0.0023702,            0.008812,            0.008812,            0.008812
                   8,              0.0347,            0.014554,            0.005598,             0.95269,             0.93371,             0.96552,              0.5867,            0.030135,           0.0074688,           0.0019896,            0.008614,            0.008614,            0.008614
                   9,            0.033815,            0.014174,           0.0052374,             0.95814,             0.94184,             0.96888,             0.61094,            0.028211,           0.0071973,           0.0019922,            0.008416,            0.008416,            0.008416
                  10,            0.033155,            0.013938,           0.0052882,             0.96123,             0.94926,             0.97435,             0.62435,            0.027279,           0.0070134,            0.001831,            0.008218,            0.008218,            0.008218
                  11,            0.032221,            0.013542,           0.0047011,             0.96967,             0.95779,             0.97827,             0.64036,            0.026568,           0.0068479,            0.001617,             0.00802,             0.00802,             0.00802
                  12,            0.031488,            0.013502,           0.0048609,             0.96757,             0.95315,             0.97766,             0.64281,            0.026163,           0.0068044,           0.0016812,            0.007822,            0.007822,            0.007822
                  13,             0.03083,            0.013236,            0.004335,             0.97019,             0.96075,             0.97913,             0.65959,            0.025139,            0.006591,           0.0014497,            0.007624,            0.007624,            0.007624
                  14,            0.030549,            0.012967,           0.0045589,             0.97029,             0.96555,             0.97996,             0.65673,            0.025402,           0.0065091,           0.0015183,            0.007426,            0.007426,            0.007426
                  15,            0.029961,            0.012836,           0.0041261,             0.97596,             0.96705,             0.98243,             0.67229,            0.024259,           0.0063922,           0.0013926,            0.007228,            0.007228,            0.007228
                  16,            0.029316,            0.012639,           0.0040535,             0.97734,             0.96417,             0.98383,             0.68197,            0.023944,           0.0063281,           0.0014179,             0.00703,             0.00703,             0.00703
                  17,            0.029084,            0.012476,           0.0039155,             0.97587,             0.97189,             0.98556,             0.69478,            0.023125,           0.0061354,           0.0013002,            0.006832,            0.006832,            0.006832
                  18,            0.028199,            0.012379,               0.004,             0.97487,             0.96811,             0.98382,              0.6967,            0.022988,           0.0061374,           0.0013557,            0.006634,            0.006634,            0.006634
                  19,            0.027747,            0.012064,           0.0036324,             0.97965,             0.97593,              0.9872,             0.71076,              0.0222,           0.0059243,            0.001252,            0.006436,            0.006436,            0.006436
                  20,            0.027402,            0.012031,           0.0037012,             0.98206,             0.97199,             0.98712,             0.72325,            0.021321,           0.0058633,           0.0012503,            0.006238,            0.006238,            0.006238
                  21,             0.02697,            0.011785,           0.0036362,             0.98328,             0.97718,             0.98845,             0.72802,            0.021049,           0.0057212,           0.0012311,             0.00604,             0.00604,             0.00604
                  22,            0.026568,            0.011747,           0.0034155,             0.98556,             0.97543,             0.98844,             0.73767,            0.020417,           0.0056037,           0.0011689,            0.005842,            0.005842,            0.005842
                  23,            0.026233,            0.011506,           0.0034756,             0.98493,             0.97857,             0.98929,              0.7433,            0.020086,           0.0055514,           0.0011604,            0.005644,            0.005644,            0.005644
