               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076479,            0.023649,            0.036142,             0.43293,             0.54911,             0.42588,             0.18238,            0.049501,            0.010728,            0.028318,            0.070048,            0.003328,            0.003328
                   1,            0.056441,            0.019101,            0.020994,             0.76271,             0.66794,             0.71284,             0.26351,            0.051092,            0.010159,            0.010308,            0.039916,           0.0065294,           0.0065294
                   2,            0.052512,            0.018203,            0.012858,             0.79945,             0.71484,             0.77713,             0.31304,            0.048114,           0.0099278,           0.0079131,           0.0096526,           0.0095988,           0.0095988
                   3,            0.048968,             0.01866,            0.011872,             0.86742,             0.74388,             0.81497,             0.35929,            0.044532,            0.010313,           0.0074802,            0.009406,            0.009406,            0.009406
                   4,            0.045762,            0.018133,            0.010449,             0.90598,             0.78773,             0.85704,             0.41279,            0.040595,            0.009739,           0.0056243,            0.009406,            0.009406,            0.009406
                   5,            0.043675,            0.017723,           0.0092852,             0.87098,             0.77103,             0.82662,             0.39146,            0.042475,            0.010117,           0.0073605,            0.009208,            0.009208,            0.009208
                   6,            0.042107,            0.017077,            0.008759,             0.86257,             0.77583,             0.83961,             0.42096,            0.039757,           0.0097977,           0.0072848,             0.00901,             0.00901,             0.00901
                   7,            0.041193,            0.016743,            0.008086,             0.90605,             0.83085,             0.88584,             0.45388,            0.038508,           0.0093959,           0.0044452,            0.008812,            0.008812,            0.008812
                   8,            0.040321,             0.01696,           0.0077031,             0.89195,              0.8178,               0.872,             0.44897,            0.038494,           0.0092914,           0.0057998,            0.008614,            0.008614,            0.008614
                   9,             0.03941,            0.016478,           0.0070402,             0.92205,             0.83607,              0.8972,             0.45946,             0.03783,           0.0091676,           0.0047034,            0.008416,            0.008416,            0.008416
                  10,            0.039078,            0.016312,             0.00688,             0.89187,             0.85394,              0.8866,               0.473,            0.037295,           0.0091807,           0.0047227,            0.008218,            0.008218,            0.008218
                  11,            0.038494,            0.016184,           0.0064135,             0.90864,             0.84024,             0.89423,             0.48608,            0.036321,           0.0090589,           0.0050404,             0.00802,             0.00802,             0.00802
                  12,            0.037964,            0.015915,           0.0064467,              0.9067,             0.84136,             0.88689,             0.46344,            0.037145,           0.0091742,           0.0049176,            0.007822,            0.007822,            0.007822
                  13,            0.037545,            0.015829,           0.0063012,             0.90145,             0.84499,              0.9007,             0.48886,            0.036682,           0.0088782,           0.0047123,            0.007624,            0.007624,            0.007624
                  14,            0.037215,            0.015612,           0.0060418,             0.90177,             0.84707,             0.89618,             0.48222,            0.036839,           0.0090713,           0.0050554,            0.007426,            0.007426,            0.007426
                  15,            0.036747,            0.015322,           0.0060527,             0.91433,              0.8519,             0.90096,             0.49026,            0.035756,           0.0089712,           0.0047644,            0.007228,            0.007228,            0.007228
                  16,            0.036257,            0.015466,           0.0058647,             0.91077,             0.85238,             0.89425,             0.48546,             0.03608,            0.008982,           0.0044386,             0.00703,             0.00703,             0.00703
                  17,            0.036032,            0.015092,           0.0057505,             0.89485,             0.81862,             0.87984,             0.47796,            0.036414,            0.009209,           0.0061704,            0.006832,            0.006832,            0.006832
                  18,            0.035646,            0.015179,           0.0055176,             0.89462,              0.8518,              0.8848,             0.47922,            0.036242,           0.0092105,           0.0053521,            0.006634,            0.006634,            0.006634
                  19,            0.035197,            0.015059,           0.0054117,              0.9039,             0.84959,             0.89121,             0.49192,            0.035632,           0.0088899,           0.0049839,            0.006436,            0.006436,            0.006436
                  20,            0.035264,            0.015067,           0.0052673,             0.90885,             0.86858,             0.91208,             0.50159,            0.035843,           0.0087904,           0.0047898,            0.006238,            0.006238,            0.006238
                  21,            0.034654,             0.01483,           0.0049987,             0.90926,              0.8558,             0.90952,             0.49743,            0.035461,           0.0088875,           0.0048608,             0.00604,             0.00604,             0.00604
                  22,            0.034375,            0.014841,           0.0050747,             0.93422,             0.86287,             0.91345,             0.50374,            0.035582,           0.0090512,           0.0042572,            0.005842,            0.005842,            0.005842
                  23,            0.034223,            0.014505,           0.0050728,             0.91926,             0.85958,             0.90847,             0.50065,            0.035425,           0.0089667,           0.0048363,            0.005644,            0.005644,            0.005644
                  24,            0.033863,            0.014501,           0.0047513,             0.91572,             0.86047,             0.90067,             0.50531,            0.035557,           0.0091677,            0.005091,            0.005446,            0.005446,            0.005446
                  25,             0.03348,            0.014508,           0.0046381,             0.92712,             0.86245,             0.91229,             0.51159,            0.034908,           0.0090264,           0.0045952,            0.005248,            0.005248,            0.005248
                  26,            0.033416,            0.014379,           0.0047799,             0.91139,             0.86178,             0.90192,             0.50811,            0.035163,           0.0090419,           0.0047018,             0.00505,             0.00505,             0.00505
                  27,            0.032914,            0.014094,           0.0046742,             0.90712,             0.87886,             0.90362,             0.50462,            0.034937,           0.0089972,           0.0048396,            0.004852,            0.004852,            0.004852
                  28,            0.032708,            0.014353,           0.0045298,             0.91013,             0.86844,             0.90537,              0.5061,            0.034864,           0.0091212,           0.0046195,            0.004654,            0.004654,            0.004654
                  29,            0.032651,            0.013964,            0.004413,             0.91591,             0.86711,             0.91185,             0.50776,            0.034836,           0.0089316,           0.0045974,            0.004456,            0.004456,            0.004456
                  30,             0.03212,             0.01392,           0.0042836,             0.91561,             0.87621,             0.91188,             0.51266,            0.034889,           0.0090376,           0.0046946,            0.004258,            0.004258,            0.004258
                  31,            0.031879,              0.0142,            0.004396,             0.92473,              0.8505,             0.90194,             0.51331,            0.034941,           0.0091056,           0.0042754,             0.00406,             0.00406,             0.00406
                  32,             0.03202,            0.013791,           0.0043839,              0.9109,             0.86937,             0.90299,             0.51232,            0.034808,           0.0090079,           0.0048065,            0.003862,            0.003862,            0.003862
                  33,            0.031505,            0.013589,           0.0041774,             0.92823,             0.87327,             0.91692,             0.51959,             0.03451,           0.0089422,           0.0045907,            0.003664,            0.003664,            0.003664
                  34,            0.031291,             0.01367,           0.0041734,             0.91593,             0.88063,             0.90915,             0.52142,            0.034331,           0.0089472,           0.0049551,            0.003466,            0.003466,            0.003466
                  35,            0.030909,            0.013526,           0.0040915,             0.92942,             0.85725,             0.90982,             0.52057,            0.034303,           0.0090339,           0.0047196,            0.003268,            0.003268,            0.003268
                  36,            0.030756,            0.013578,           0.0040135,             0.91775,             0.86405,             0.90602,             0.52198,             0.03456,           0.0090434,           0.0050969,             0.00307,             0.00307,             0.00307
                  37,            0.030724,            0.013325,           0.0042167,             0.92513,             0.87534,             0.91553,             0.52508,            0.034558,           0.0090777,           0.0051693,            0.002872,            0.002872,            0.002872
                  38,            0.030106,            0.013065,           0.0038357,             0.92661,             0.85727,             0.90689,             0.52037,            0.034503,           0.0090334,           0.0048883,            0.002674,            0.002674,            0.002674
                  39,            0.030095,            0.013187,           0.0037829,             0.90648,             0.87702,              0.9115,             0.52468,            0.034098,           0.0090502,           0.0047792,            0.002476,            0.002476,            0.002476
                  40,            0.029607,            0.013044,           0.0037614,             0.92469,             0.86403,             0.91167,             0.52348,            0.034336,            0.009087,           0.0049813,            0.002278,            0.002278,            0.002278
                  41,             0.02952,            0.012984,           0.0036874,             0.92033,             0.87411,             0.91241,             0.52674,            0.034241,           0.0090449,           0.0049407,             0.00208,             0.00208,             0.00208
                  42,            0.029294,            0.013018,           0.0036411,             0.91291,             0.87894,             0.90975,             0.52216,            0.034422,            0.009113,           0.0051261,            0.001882,            0.001882,            0.001882
                  43,            0.029215,            0.012921,           0.0036729,             0.92032,             0.87867,             0.91194,             0.52154,            0.034335,           0.0090996,           0.0052562,            0.001684,            0.001684,            0.001684
                  44,            0.028904,            0.012811,           0.0035308,             0.92007,             0.86733,             0.90579,             0.52109,            0.034476,           0.0090926,           0.0052684,            0.001486,            0.001486,            0.001486
                  45,            0.028803,            0.012861,           0.0036418,             0.91289,             0.87021,             0.90704,               0.526,             0.03432,           0.0091251,           0.0052115,            0.001288,            0.001288,            0.001288
                  46,            0.028551,            0.012738,           0.0035523,             0.91417,             0.88768,             0.91364,              0.5266,            0.034501,           0.0091444,           0.0052611,             0.00109,             0.00109,             0.00109
                  47,             0.02821,            0.012483,           0.0034502,             0.90705,             0.88228,              0.9077,             0.52414,            0.034434,           0.0091114,            0.005207,            0.000892,            0.000892,            0.000892
                  48,            0.028041,            0.012467,           0.0034343,              0.9106,             0.87654,              0.9082,             0.52458,            0.034306,            0.009133,           0.0052751,            0.000694,            0.000694,            0.000694
                  49,            0.027807,             0.01255,           0.0033982,             0.90762,             0.88427,             0.90992,             0.52662,            0.034384,           0.0091159,           0.0053305,            0.000496,            0.000496,            0.000496
