               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11263,            0.022714,            0.041048,            0.092677,             0.17262,             0.08863,            0.027763,            0.082174,            0.028505,            0.037766,            0.070191,           0.0033121,           0.0033121
                   1,            0.083983,            0.020464,            0.033539,             0.26597,             0.36679,             0.26671,             0.11681,            0.061533,            0.023281,            0.035791,             0.04006,           0.0065139,           0.0065139
                   2,            0.079218,            0.016316,            0.031777,             0.22205,             0.38823,             0.25376,             0.11929,            0.061894,            0.020446,              0.0332,           0.0097959,           0.0095836,           0.0095836
                   3,              0.0734,            0.014987,            0.029856,             0.35387,             0.57668,             0.38223,             0.15945,             0.05148,            0.019766,             0.03168,            0.009406,            0.009406,            0.009406
                   4,            0.067338,            0.013519,             0.02579,             0.45106,             0.53727,             0.48869,             0.20057,             0.05347,            0.018477,            0.027588,            0.009406,            0.009406,            0.009406
                   5,            0.065282,            0.013179,            0.019322,             0.44689,             0.62963,             0.58785,             0.29952,            0.046325,            0.019133,            0.025217,            0.009208,            0.009208,            0.009208
                   6,             0.06241,            0.013847,            0.016703,             0.69833,             0.46916,             0.57967,             0.28934,            0.047564,            0.017756,            0.024603,             0.00901,             0.00901,             0.00901
                   7,              0.0607,             0.01391,            0.015174,             0.53754,              0.6078,             0.59923,             0.30707,            0.047604,            0.017699,            0.027841,            0.008812,            0.008812,            0.008812
                   8,            0.058934,            0.013168,            0.013978,             0.71787,             0.50428,             0.64002,              0.2916,            0.043827,            0.017727,            0.025769,            0.008614,            0.008614,            0.008614
                   9,            0.058941,            0.012871,            0.012975,             0.63313,             0.63149,             0.65506,             0.31315,            0.046114,            0.018595,             0.01772,            0.008416,            0.008416,            0.008416
                  10,            0.057779,            0.013313,            0.011776,             0.72064,              0.5364,             0.63038,             0.33257,            0.043055,            0.018345,            0.025134,            0.008218,            0.008218,            0.008218
                  11,            0.057056,            0.012597,            0.011839,             0.59578,             0.64858,              0.6607,             0.32496,            0.043211,            0.017505,            0.020622,             0.00802,             0.00802,             0.00802
                  12,            0.055232,            0.012648,             0.01114,             0.66056,             0.63247,             0.61778,             0.32277,            0.042911,            0.018539,            0.024829,            0.007822,            0.007822,            0.007822
                  13,            0.054613,            0.012565,            0.010605,             0.70152,              0.5655,             0.66396,             0.35409,            0.041325,            0.017936,            0.021661,            0.007624,            0.007624,            0.007624
                  14,            0.053926,            0.012772,            0.010632,             0.71073,             0.70438,             0.70815,             0.36533,            0.040572,            0.017385,             0.01301,            0.007426,            0.007426,            0.007426
                  15,            0.053639,            0.012267,            0.010129,             0.57351,             0.67151,             0.64355,             0.33387,            0.039614,            0.017131,            0.023224,            0.007228,            0.007228,            0.007228
                  16,            0.053247,            0.012194,           0.0096465,             0.72757,             0.67294,             0.69766,              0.3557,            0.039429,             0.01738,            0.018281,             0.00703,             0.00703,             0.00703
                  17,             0.05263,            0.012821,           0.0096801,             0.69302,             0.71156,             0.76908,             0.41157,            0.040282,            0.017623,            0.014408,            0.006832,            0.006832,            0.006832
                  18,            0.051373,            0.011826,           0.0088146,             0.73029,             0.69961,             0.71016,             0.38489,            0.037647,            0.016821,            0.014651,            0.006634,            0.006634,            0.006634
                  19,            0.050941,            0.012104,           0.0096855,             0.71987,             0.71458,             0.72153,               0.385,            0.038901,            0.015939,            0.015554,            0.006436,            0.006436,            0.006436
                  20,            0.051311,            0.012258,           0.0093402,             0.75939,             0.77949,             0.79587,             0.42013,            0.037837,            0.015919,            0.013813,            0.006238,            0.006238,            0.006238
                  21,            0.048917,            0.011669,           0.0079471,             0.78078,             0.71766,             0.76199,              0.4361,            0.037561,            0.017105,            0.019009,             0.00604,             0.00604,             0.00604
                  22,            0.049152,            0.011801,            0.008038,             0.68096,             0.71004,              0.7329,             0.37491,            0.041112,              0.0166,              0.0197,            0.005842,            0.005842,            0.005842
                  23,            0.049157,            0.011997,           0.0076157,             0.81193,             0.74935,              0.7419,             0.39306,            0.037966,            0.015583,             0.01564,            0.005644,            0.005644,            0.005644
                  24,             0.04837,            0.011815,            0.007931,             0.77653,              0.7104,             0.79196,             0.41284,            0.039277,            0.016584,            0.013558,            0.005446,            0.005446,            0.005446
                  25,            0.048228,            0.011607,           0.0079085,             0.81784,             0.72619,             0.78986,             0.44727,            0.036016,            0.015574,            0.015056,            0.005248,            0.005248,            0.005248
                  26,             0.04713,            0.010901,           0.0073688,             0.77411,             0.75886,             0.80442,                0.45,            0.037125,             0.01619,            0.017392,             0.00505,             0.00505,             0.00505
