               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070452,            0.024437,            0.035408,             0.46556,             0.63961,             0.47495,             0.21824,            0.045775,            0.010598,            0.027604,            0.070048,            0.003328,            0.003328
                   1,            0.052622,            0.018149,            0.019344,             0.74618,              0.7536,             0.76211,             0.34293,            0.043954,           0.0093834,            0.007383,            0.039916,           0.0065294,           0.0065294
                   2,            0.048656,            0.017093,            0.010997,             0.74232,             0.55922,             0.61632,             0.29567,             0.04723,            0.011282,            0.020404,           0.0096526,           0.0095988,           0.0095988
                   3,            0.045727,            0.017518,            0.010505,             0.87457,             0.80127,             0.86336,             0.42092,            0.039979,            0.009535,           0.0058192,            0.009406,            0.009406,            0.009406
                   4,            0.042742,             0.01704,           0.0089622,             0.88497,             0.84067,             0.88494,             0.45292,            0.038124,            0.009312,           0.0057918,            0.009406,            0.009406,            0.009406
                   5,            0.040539,            0.016432,           0.0075478,             0.90144,             0.85954,             0.90552,             0.47772,            0.036712,           0.0090591,           0.0049158,            0.009208,            0.009208,            0.009208
                   6,            0.038953,            0.015799,            0.007285,             0.88191,             0.84711,              0.8939,             0.46815,            0.036937,           0.0090476,           0.0056156,             0.00901,             0.00901,             0.00901
                   7,            0.037768,            0.015463,           0.0064366,             0.90036,             0.87183,             0.91223,             0.49064,            0.036156,           0.0087648,           0.0047565,            0.008812,            0.008812,            0.008812
                   8,            0.036707,            0.015437,           0.0060952,             0.91246,             0.85606,             0.90174,             0.47999,            0.036311,           0.0090358,            0.004871,            0.008614,            0.008614,            0.008614
                   9,            0.035896,            0.015086,           0.0056851,             0.90088,             0.87769,              0.9083,             0.49838,            0.035136,           0.0088863,           0.0053079,            0.008416,            0.008416,            0.008416
                  10,            0.035404,            0.014876,           0.0055044,             0.92904,             0.87751,             0.91901,             0.50732,            0.035641,           0.0088232,           0.0041037,            0.008218,            0.008218,            0.008218
                  11,            0.034797,            0.014712,           0.0052646,             0.91727,             0.86506,             0.90339,             0.50646,            0.035106,           0.0089392,           0.0047624,             0.00802,             0.00802,             0.00802
                  12,            0.033931,            0.014371,           0.0052085,             0.90872,             0.86895,             0.90012,             0.50142,             0.03467,           0.0087437,           0.0043183,            0.007822,            0.007822,            0.007822
                  13,            0.033676,            0.014327,           0.0049336,             0.93153,             0.86845,             0.90594,             0.50763,            0.035114,           0.0087473,           0.0042496,            0.007624,            0.007624,            0.007624
                  14,             0.03303,            0.014022,           0.0047589,             0.92313,             0.86598,             0.91264,             0.51292,            0.034833,            0.008853,           0.0047776,            0.007426,            0.007426,            0.007426
                  15,            0.032534,            0.013662,           0.0046695,             0.93439,             0.87181,             0.90948,             0.51686,            0.034366,           0.0089352,           0.0046416,            0.007228,            0.007228,            0.007228
                  16,            0.032002,            0.013734,           0.0045385,             0.93122,              0.8775,             0.91599,             0.52513,            0.034082,           0.0087259,           0.0042802,             0.00703,             0.00703,             0.00703
                  17,            0.031796,            0.013449,           0.0045246,             0.92804,             0.86672,             0.90534,             0.51378,            0.034358,           0.0089167,            0.004638,            0.006832,            0.006832,            0.006832
                  18,            0.031093,            0.013391,           0.0041966,             0.91156,              0.8852,              0.9138,             0.51478,            0.034276,           0.0087877,           0.0043847,            0.006634,            0.006634,            0.006634
                  19,            0.030477,            0.013181,           0.0041246,             0.92581,             0.88101,             0.90756,             0.51889,             0.03442,           0.0088889,            0.004942,            0.006436,            0.006436,            0.006436
                  20,            0.030543,            0.013219,           0.0040332,             0.92502,             0.87481,             0.91134,             0.51743,             0.03447,           0.0086715,           0.0047372,            0.006238,            0.006238,            0.006238
                  21,            0.029766,            0.013003,           0.0039479,             0.93807,              0.8807,             0.91921,             0.52389,            0.034261,           0.0090635,           0.0042188,             0.00604,             0.00604,             0.00604
                  22,            0.029543,             0.01295,           0.0038478,             0.92122,             0.88353,             0.90798,             0.52283,            0.034088,           0.0089408,           0.0043794,            0.005842,            0.005842,            0.005842
                  23,            0.029333,            0.012645,           0.0039153,             0.92227,             0.88478,             0.92002,              0.5273,            0.034137,           0.0090409,           0.0040541,            0.005644,            0.005644,            0.005644
